"country","year","Yt","DR.2.Yt","DR.3.Yt"
"Sierra Leone",2025,16861905973.3967,14391474388.2071,13310944283.5327
"Sierra Leone",2026,17251024650.7881,14434885718.246,13221473942.4364
"Sierra Leone",2027,17640143328.1796,14471061588.8262,13125923308.4045
"Sierra Leone",2028,18029262005.5709,14500269053.2096,13024722474.1981
"Sierra Leone",2029,18418380682.9624,14522767473.7809,12918281636.7647
"Sierra Leone",2030,18807499360.3539,14538808720.9759,12806991891.3538
"Sierra Leone",2031,19196618037.7452,14548637367.3681,12691225996.2522
"Sierra Leone",2032,19585736715.1367,14552490877.0235,12571339109.177
"Sierra Leone",2033,19974855392.5281,14550599790.2343,12447669496.3261
"Sierra Leone",2034,20363974069.9196,14543187903.7433,12320539215.0578
"Sierra Leone",2035,20753092747.3109,14530472446.5608,12190254771.131
"Sierra Leone",2036,21142211424.7024,14512664251.4811,12057107751.4112
"Sierra Leone",2037,21531330102.0939,14489967922.3958,11921375432.9118
"Sierra Leone",2038,21920448779.4852,14462581997.5069,11783321369.014
"Sierra Leone",2039,22309567456.8767,14430699108.5337,11643195953.6781
"Sierra Leone",2040,22698686134.2681,14394506136.0071,11501236964.4292
"Sierra Leone",2041,23087804811.6595,14354184360.7466,11357670084.8769
"Sierra Leone",2042,23476923489.051,14309909611.6071,11212709407.5006
"Sierra Leone",2043,23866042166.4424,14261852409.5846,11066557917.4044
"Sierra Leone",2044,24255160843.8339,14210178108.3675,10919407957.7268
"Sierra Leone",2045,24644279521.2252,14155047031.4157,10771441677.3615
"Sierra Leone",2046,25033398198.6167,14096614605.6524,10622831461.625
"Sierra Leone",2047,25422516876.0081,14035031491.8446,10473740346.485
"Sierra Leone",2048,25811635553.3995,13970443711.7556,10324322416.9424
"Sierra Leone",2049,26200754230.791,13902992772.1424,10174723190.1369
"Sierra Leone",2050,26589872908.1824,13832815785.6736,10025079983.7305
"Singapore",2015,539859994134.474,561670337897.507,572737467777.263
"Singapore",2016,559233645780.271,570418318695.876,576010655153.679
"Singapore",2017,584471448158.174,584471448158.174,584471448158.174
"Singapore",2018,605027976369.161,593164682714.864,587405802300.156
"Singapore",2019,613165958049.765,589355976595.314,577967723677.788
"Singapore",2020,641296882547.344,604308375499.755,586877493232.385
"Singapore",2021,661419272102.508,611049169217.688,587662456504.901
"Singapore",2022,681541661657.672,617293281146.03,587903824269.688
"Singapore",2023,701664051212.836,623057597385.825,587632596371.624
"Singapore",2024,721786440767.992,628358532796.084,586878427991.187
"Singapore",2025,741908830323.156,633212042981.732,585669681676.15
"Singapore",2026,762031219878.32,637633635992.55,584033477482.97
"Singapore",2027,782153609433.484,641638383739.975,581995741293.965
"Singapore",2028,802275998988.641,645240933138.209,579581251373.921
"Singapore",2029,822398388543.805,648455516976.142,576813683227.748
"Singapore",2030,842520778098.969,651295964526.259,573715652818.588
"Singapore",2031,862643167654.133,653775711896.796,570308758203.923
"Singapore",2032,882765557209.297,655907812133.03,566613619645.108
"Singapore",2033,902887946764.453,657704945073.606,562649918243.937
"Singapore",2034,923010336319.617,659179426967.64,558436433158.081
"Singapore",2035,943132725874.781,660343219858.111,553991077445.292
"Singapore",2036,963255115429.945,661207940737.127,549330932584.805
"Singapore",2037,983377504985.102,661784870478.3,544472281722.502
"Singapore",2038,1003499894540.27,662084962551.53,539430641684.943
"Singapore",2039,1023622284095.43,662118851525.198,534220793805.708
"Singapore",2040,1043744673650.59,661896861360.894,528856813606.198
"Singapore",2041,1063867063205.76,661429013505.414,523352099371.35
"Singapore",2042,1083989452760.91,660725034784.83,517719399659.509
"Singapore",2043,1104111842316.08,659794365105.394,511970839784.379
"Singapore",2044,1124234231871.24,658646164965.559,506117947305.408
"Singapore",2045,1144356621426.41,657289322783.884,500171676562.133
"Singapore",2046,1164479010981.56,655732462046.859,494142432286.338
"Singapore",2047,1184601400536.73,653983948281.161,488040092325.132
"Singapore",2048,1204723790091.89,652051895854.194,481874029506.484
"Singapore",2049,1224846179647.05,649944174607.262,475653132678.128
"Singapore",2050,1244968569202.22,647668416325.092,469385826949.254
"Slovak Republic",2015,166353518085.754,173074200216.418,176484447337.176
"Slovak Republic",2016,169593783561.154,172985659232.377,174681597067.989
"Slovak Republic",2017,174469150760.322,174469150760.322,174469150760.322
"Slovak Republic",2018,181556297672.426,177996370267.084,176268250167.404
"Slovak Republic",2019,185688335965.302,178477831569.879,175029065854.748
"Slovak Republic",2020,188334668775.974,177471964757.12,172352901297.373
"Slovak Republic",2021,192757428187.636,178078068363.782,171262478334.253
"Slovak Republic",2022,197180187599.296,178592170996.725,170089361929.67
"Slovak Republic",2023,201602947010.958,179017647510.13,168839294222.706
"Slovak Republic",2024,206025706422.618,179357775782.332,167517753010.749
"Slovak Republic",2025,210448465834.28,179615739221.289,166129962276.781
"Slovak Republic",2026,214871225245.94,179794629209.05,164680902327.665
"Slovak Republic",2027,219293984657.603,179897447486.713,163175319557.178
