"country","age_grp","year","lta"
"Algeria","35-39",2049,0.623094186190563
"Algeria","35-39",2050,0.625049574120516
"Algeria","40-44",2015,0.548754175523228
"Algeria","40-44",2016,0.550569058214611
"Algeria","40-44",2017,0.552382595618305
"Algeria","40-44",2018,0.55419474054028
"Algeria","40-44",2019,0.556005445933743
"Algeria","40-44",2020,0.557814664903939
"Algeria","40-44",2021,0.55962235071291
"Algeria","40-44",2022,0.561428456784221
"Algeria","40-44",2023,0.563232936707655
"Algeria","40-44",2024,0.565035744243856
"Algeria","40-44",2025,0.566836833328961
"Algeria","40-44",2026,0.56863615807916
"Algeria","40-44",2027,0.57043367279525
"Algeria","40-44",2028,0.572229331967116
"Algeria","40-44",2029,0.574023090278199
"Algeria","40-44",2030,0.575814902609903
"Algeria","40-44",2031,0.577604724045964
"Algeria","40-44",2032,0.579392509876777
"Algeria","40-44",2033,0.581178215603677
"Algeria","40-44",2034,0.582961796943173
"Algeria","40-44",2035,0.584743209831134
"Algeria","40-44",2036,0.586522410426933
"Algeria","40-44",2037,0.588299355117536
"Algeria","40-44",2038,0.590074000521547
"Algeria","40-44",2039,0.591846303493204
"Algeria","40-44",2040,0.593616221126317
"Algeria","40-44",2041,0.595383710758164
"Algeria","40-44",2042,0.597148729973331
"Algeria","40-44",2043,0.598911236607499
